,Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder Range
208,Montenegro,Corruption protests,Mar-19,Partly free,Allegations of corruption against President Milo Đukanović.,Democratic backslide and corruption.,"10,000","Serbian Orthodox Church clergy and their supporters, pro-Russian and pro-Serbian political movements.",2 months,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Podgorica,Montenegro,Central and Eastern Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,0.2110000000000003
209,Morocco,Jerada mine protests,Dec-17,Partly free,The death of scavengers in an abandoned coal mine in the Jerada region.,"Anger over the lack of economic opportunity, poor infrastructure, unsafe working conditions, and slow development of noncoastal areas.",">10,000",General public.,7 months,The government announced a series of development initiatives for the Jerada region.,,,X,,Tens of thousands,,,,,,Rabat,Morocco,Middle East and North Africa,4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,0.23599999999999977
210,Morocco,Political prisoner protests,Apr-18,Partly free,Arrest of leaders of the Hirak Rif protest movement.,"Lack of genuine political pluralism, and restrictions on civil society.",">10,000",General public.,1 month,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,,,,Rabat,Morocco,Middle East and North Africa,4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,0.23599999999999977
211,Morocco,Teacher protests,Feb-19,Partly free,"Anniversary of the Arab Spring uprising. Discontent over fixed-term contracts for teachers, limited opportunities for low-ranking teachers, and temporary government contracts that provide limited healthcare or pension benefits.",Inadequate compensation and benefits for teachers.,"15,000","Trustees, cultural experts, activists, civil society, members of the Newar community.",2 months,"The Moroccan government and public unions made a deal to increase salaries for public sector employees and establish a new minimum wage for national education sector employees. However, contracted teachers did not receive benefits.",,,X,,Tens of thousands,X,,,,,Rabat,Morocco,Middle East and North Africa,4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,0.23599999999999977
212,Myanmar,Journalist jailing protests,Sep-18,Not free,The arrest of two Reuters journalists by Burmese authorities for allegedly violating the Official Secrets Act.,Concerns over a lack of press freedom and a government crackdown on free expression.,>500,General public.,4 months,The reporters were released after a few months in custody.,,X,X,X,Hundreds of thousands,X,X,,,,Naypyidaw,Myanmar,Southeast Asia,4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,0.2030000000000003
213,Myanmar,Aung San statue protests,Jul-18,Not free,The announcement of government plans to construct statues of state founder Aung San.,"Anger over discriminatory policies toward ethnic minorities, and the lack of autonomy for minority ethnic groups.",">1,000",Ethnic minorities.,8 months,No policy/leadership change in response to protests.,,,X,,Hundreds of thousands,,X,,,,Naypyidaw,Myanmar,Southeast Asia,4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,0.2030000000000003
214,Namibia,Genocide recognition deal protest,Sep-21,Free,A parliamentary debate over an agreement with Germany to recognize the genocide during its colonial occupation.,Belief that reconciliation efforts were insufficient and that the government needed to do more to reckon with the country's colonial era.,>400,General public.,1 day,No policy/leadership change in response to protest.,,,X,,Hundreds,,,,,,Windhoek,Namibia,Sub-Saharan Africa,4.574,0.064,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,0.847,2.43,0.882,0.801,0.262,0.411,0.091,0.059,2.068,0.2519999999999998
215,Nepal,Parliament dissolution protests,Dec-20,Partly free,Prime Minister Khadga Prasad Sharma Oli’s move to dissolve parliament and call early elections.,Frustration over increasing partisanship; concerns over the constitutionality of the dissolution of parliament; and the breakdown of a power-sharing agreement between the prime minister and members of the ruling Nepal Communist Party.,">10,000",General public.,2 months,No policy or leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Kathmandu,Nepal,South Asia,5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642,0.274
216,Nepal,“Guthi bill” protests,Jun-19,Partly free,"Proposal of a bill that would affect a historical trust system (the guthi system) that helps maintain temples and other traditional public spaces, while helping organize public events. The bill would have established an authority governing all guthis and would have ended the current system of ownership by communities or families.",Concerns for Sanatan Hindu traditions.,"50,000",General public.,10 days,The government withdrew the guthi bill.,,,X,,Hundreds,,,,,X,Kathmandu,Nepal,South Asia,5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642,0.274
217,Netherlands,Coronavirus restriction protests,Jan-21,Free,Ongoing pandemic-related restrictions.,Frustration over the economic and social impacts of pandemic-related restrictions.,">1,000",General public.,14 months,No policy/leadership change in response to protests.,,,X,,Thousands,,,X,X,X,Amsterdam,Netherlands,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,0.10799999999999965
218,New Zealand,Coronavirus restriction protests,Oct-21,Free,The imposition of vaccine mandates and public health restrictions across New Zealand.,Frustration with ongoing coronavirus restrictions and mandates.,">5,000","General public, especially unvaccinated populations.","7 months, intermittently",No policy/leadership change in response to protest.,,,X,,Thosuands,,,,X,X,Wellington,New Zealand,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,0.15700000000000003
219,New Zealand,Racial equality protests,Jun-20,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in New Zealand.",Systemic racism and police violence against indigenous people.,">10,000","University students, business sector, general public.",1 week,The police commissioner announced that the New Zealand Police would do away with its armed response teams.,,X,,,Tens of thousands,X,,,,,Wellington,New Zealand,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,0.15700000000000003
220,Nicaragua,Social security reform protests,Apr-18,Partly free,Proposal of reforms to the social security system.,Violent repression of initial protests and broader democratic backslide.,">100,000","Conservative Islamist party, teachers and students from religious schools.",4 months,"President Daniel Ortega revoked the changes, but protests did not stop. Police violently repressed the protests.",,X,X,,Hundreds of thousands,,X,X,X,,Managua,Nicaragua,Latin America and Caribbean,5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,0.32400000000000073
221,Niger,Electoral protests,Feb-21,Partly free,Announcement of electoral results that declared ruling party candidate Mohamed Bazoum the victor over former president Mahamane Ousmane.,Concerns over lack of genuine political pluralism and perceived electoral manipulation.,">1,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,,,Niamey,Niger,Sub-Saharan Africa,5.074,0.102,5.273,4.875,7.098,0.641,53.78,0.806,0.018,0.693,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47,0.3979999999999997
222,Niger,Finance law protests,Oct-17,Partly free,The introduction of a finance law that imposed taxes on consumer goods while subsidizing utility companies.,Frustration over the high cost of living and restrictions on civil society activity.,">1,000",General public.,5 months,No policy/leadership change in response to protests.,,X,X,X,Hundreds of thousands,,X,X,X,,Niamey,Niger,Sub-Saharan Africa,5.074,0.102,5.273,4.875,7.098,0.641,53.78,0.806,0.018,0.693,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47,0.3979999999999997
223,Nigeria,Democracy Day protest,Jun-21,Partly free,"Call for protest by activists, imposition of the ban on Twitter, and rising insecurity across the country.","Frustration with rising insecurity, poor governance, and crackdowns on free expression.",">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,X,,,Abuja,Nigeria,Sub-Saharan Africa,4.759,0.052,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736,0.2029999999999994
224,Nigeria,SARS protests,Oct-20,Partly free,Circulation of a video of police brutality.,"Widespread belief that the police, especially the elite Special Anti-Robbery Squad (SARS), was involved in gross violations of human rights.",">10,000","General public, especially youth.",3 months,The government disbanded the SARS police squad and promised investigations into alleged human rights abuses.,,,X,,Tens of thousands,X,,X,,,Abuja,Nigeria,Sub-Saharan Africa,4.759,0.052,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736,0.2029999999999994
225,North Macedonia,Opposition leader imprisonment protest,Apr-21,Partly free,Call by the opposition VMRO-DPMNE party for protests in response to over a dozen former party officials being sentenced to prison time for their role in a mob invasion of parliament in 2017.,A belief that the legal proceedings had been politically motivated; demands for a retrial.,">1,000","General public, including family members of imprisoned leaders.",1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Skopje,North Macedonia,Central and Eastern Europe,5.101,0.051,5.202,5.001,9.693,0.805,65.474,0.751,0.038,0.905,2.43,1.068,0.772,0.535,0.45,0.212,0.022,2.042,0.20099999999999962
226,Oman,Economic protests,May-21,Not free,"A spate of mass layoffs, rising unemployment, and the imposition of new taxes.","Increasing economic insecurity, especially for young people, amid declining oil revenues.",>100,"General public, especially youth.",1 week,Sultan Haitham opened hiring for thousands of government jobs and unveiled a plan to drive growth in private sector employment.,,X,,,Hundreds,X,,,,,Muscat,,,,,,,,,,,,,,,,,,,,,
227,Oman,Unemployment protest,Jan-18,Not free,Failure of government job programs to adequately reduce unemployment among citizens.,Frustration over chronically high levels of unemployment among Omani youth and feelings of economic insecurity amid declining oil revenues.,>500,"General public, especially youth.","1 year, intermittently",The government announced a job creation program and the establishment of a national center to address unemployment.,,X,X,,Tens of thousands,X,,,,,Muscat,,,,,,,,,,,,,,,,,,,,,
228,Pakistan,Tehreek-e-Labbaik protests,Oct-21,Partly free,"A call by the leadership of Tehreek-e-Labbaik Pakistan (TLP), an outlawed far-right group, for a ""long march"" from Lahore to Islamabad.",Frustration over the imprisonment of TLP leader Saad Rizvi and the ongoing presence of the French ambassador.,">5,000",Members of TLP.,10 days,"The government and the TLP reached a negotiated settlement, which has yet to be made public.",,,X,,Thousands,X,,X,,,Islamabad,Pakistan,South Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,0.26400000000000023
229,Pakistan,Youth killing protests,Mar-21,Partly free,Discovery of the bodies of four young men in a ditch outside the city of Bannu and accusations that the security services had tortured and murdered them.,Impunity for violence by the security forces.,">1,000",General public.,1 week,No policy/leadership change in response to protests.,,,X,,Thosuands,,,,,,Islamabad,Pakistan,South Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,0.26400000000000023
230,Pakistan,Blasphemy protests,Nov-18,Partly free,The acquittal of a Christian woman in a highly publicized blasphemy case.,"Religious tensions between Christians and Muslims, and a belief that the government was inadequately enforcing blasphemy laws.",">5,000","General public, especially conservative Muslims.",1 month,No policy/leadership change in response to protests.,,,X,,Thousands,X,,X,,,Islamabad,Pakistan,South Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,0.26400000000000023
231,Pakistan,Oath protests,Nov-17,Partly free,A proposal to change Pakistan’s electoral oath that would alter a reference to the Prophet Muhammad.,Anger over the perceived secularization of the Pakistani government.,">5,000","General public, especially conservative Muslims.",1 month,"The proposed changes were quickly revoked, a key Islamic leader was released from prison, and the law minister was forced out.",,,X,,Thousands,,,,,,Islamabad,Pakistan,South Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,0.26400000000000023
232,Pakistan,Pashtun protection movement protests,Feb-2018,Partly free,The extrajudicial killing of ethnic Pashtun Naqeebullah Mehsud by police.,"Anger over persistent human rights violations by security forces in minority areas, especially Pashtun regions.",">50,000",Ethnic Pashtuns.,1 year,No policy/leadership change in response to protests.,,,X,,Hundreds,X,,X,,,Islamabad,Pakistan,South Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,0.26400000000000023
